Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Intelligent Urban Traffic Management via&#xa0;Semantic Interoperability Across Multiple Heterogeneous Mobility Data Sources,The Semantic Web – ISWC 2024,,,,10.1007/978-3-031-77847-6_12,Mario ScroccaMarco GrassiMarco ComerioValentina Anita CarrieroTiago Delgado DiasAna Vieira Da SilvaIrene Celino,2025,https://link.springer.com/chapter/10.1007/978-3-031-77847-6_12,Conference paper
Ontology-Driven Semantic Interoperability Approach for Big Data Analytics in Healthcare IoT Systems,Recent Trends in Artificial Intelligence and Data Sciences,,,,10.1007/978-981-96-9203-3_22,Ritesh ChandraSadhana TiwariSonali AgarwalNavjot Singh,2025,https://link.springer.com/chapter/10.1007/978-981-96-9203-3_22,Conference paper
Semantic interoperability in health records standards: a systematic literature review,Health and Technology,,,,10.1007/s12553-022-00639-w,Blanda Helena de MelloSandro José RigoCristiano André da CostaRodrigo da Rosa RighiBruna DonidaMarta Rosecler BezLuana Carina Schunke,2022,https://link.springer.com/article/10.1007/s12553-022-00639-w,Article
Knowledge Based Approach for the Digitalization of Historic Built Heritage: Information Integration and Semantic Interoperability,"Networks, Markets & People",,,,10.1007/978-3-031-74723-6_32,Massimo LauriaAngela QuattrocchiSerena Buglisi,2024,https://link.springer.com/chapter/10.1007/978-3-031-74723-6_32,Conference paper
IEN NFT: A Naming Based Novel Semantic NFT Architecture with&#xa0;Intrinsic Binding and&#xa0;Flexible Interoperability,Computer Applications,,,,10.1007/978-981-97-9674-8_17,Mengze ChenJiaxun WangPeiyu TangGuohui YuanShengli ZhangKai Lei,2024,https://link.springer.com/chapter/10.1007/978-981-97-9674-8_17,Conference paper
A Semantic Interoperability Approach for Heterogeneous Meteorology Big IoT Data,12th International Conference on Information Systems and Advanced Technologies “ICISAT 2022”,,,,10.1007/978-3-031-25344-7_20,Souad BouaichaWafa Ghemmaz,2023,https://link.springer.com/chapter/10.1007/978-3-031-25344-7_20,Conference paper
Applying New Standards to Legacy Data for Semantic Interoperability and Multilingualism: A Case Study at the National Library of Greece,Metadata and Semantic Research,,,,10.1007/978-3-031-81974-2_20,Sofia ZapounidouMichalis GerolimosEftychia KoufakouGiorgos Veranis,2025,https://link.springer.com/chapter/10.1007/978-3-031-81974-2_20,Conference paper
Conceptual Analysis and Design of Semantic Interoperability of Smart City Services,Proceedings of Seventh International Congress on Information and Communication Technology,,,,10.1007/978-981-19-1610-6_72,Sergei Kozhevnikov,2023,https://link.springer.com/chapter/10.1007/978-981-19-1610-6_72,Conference paper
Semantic Interoperability for&#xa0;Managing Energy-Efficiency and&#xa0;IEQ: A&#xa0;Short&#xa0;Review,Artificial Intelligence  Applications  and Innovations. AIAI 2023 IFIP WG 12.5 International Workshops,,,,10.1007/978-3-031-34171-7_19,Christos TzouvarasAsimina DimaraAlexios PapaioannouChristos-Nikolaos AnagnostopoulosKonstantinos KotisStelios KrinidisDimosthenis IoannidisDimitrios Tzovaras,2023,https://link.springer.com/chapter/10.1007/978-3-031-34171-7_19,Conference paper
On the Use of HBIM for the Analysis of Historical Constructions: Technical and Semantic Interoperability for Different Aspects of the Structural Assessment,3D Research Challenges in Cultural Heritage IV,,,,10.1007/978-3-031-93753-8_1,M. L. LeonardiD. V. OliveiraM. Azenha,2025,https://link.springer.com/chapter/10.1007/978-3-031-93753-8_1,Conference paper
Unlocking the&#xa0;Power of&#xa0;Semantic Interoperability in&#xa0;Industry 4.0: A&#xa0;Comprehensive Overview,Knowledge Graphs and Semantic Web,,,,10.1007/978-3-031-47745-4_7,Fatima Zahra AmaraMeriem DjezzarMounir HemamSanju TiwariMohamed Madani Hafidi,2023,https://link.springer.com/chapter/10.1007/978-3-031-47745-4_7,Conference paper
Semantic Web Technologies for&#xa0;Internet of&#xa0;Things Semantic Interoperability,"Advances in Information, Communication and Cybersecurity",,,,10.1007/978-3-030-91738-8_13,Fatima Zahra AmaraMounir HemamMeriem DjezzarMoufida Maimour,2022,https://link.springer.com/chapter/10.1007/978-3-030-91738-8_13,Conference paper
Construction of the cervical cancer common terminology for promoting semantic interoperability and utilization of Chinese clinical data,BMC Medical Informatics and Decision Making,,,,10.1186/s12911-021-01672-x,Na HongFengxiang ChangZhengjie OuYishang WangYating YangQiang GuoJianhui MaDan Zhao,2021,https://link.springer.com/article/10.1186/s12911-021-01672-x,Article
Smart Product-Service Systems: A Review and Preliminary Approach to Enable Flexible Development Based on Ontology-Driven Semantic Interoperability,"Product Lifecycle Management. Leveraging Digital Twins, Circular Economy, and Knowledge Management for Sustainable Innovation",,,,10.1007/978-3-031-62582-4_14,Athon Francisco Staben de Moura LeiteMatheus Beltrame CanciglieriOsiris Canciglieri Junior,2024,https://link.springer.com/chapter/10.1007/978-3-031-62582-4_14,Conference paper
Knowledge Extraction for the Product Development Process Based on Ontology-Driven Semantic Interoperability,Enterprise Interoperability IX,,,,10.1007/978-3-030-90387-9_3,Athon F. C. S. de Moura LeiteMatheus B. CanciglieriAnderson L. SzejkaOsiris Canciglieri JuniorRobert I. M. Young,2023,https://link.springer.com/chapter/10.1007/978-3-030-90387-9_3,Conference paper
Semantic Web-Based Interoperability for&#xa0;Intelligent Agents with&#xa0;PSyKE,Explainable and Transparent AI and Multi-Agent Systems,,,,10.1007/978-3-031-15565-9_8,Federico SabbatiniGiovanni CiattoAndrea Omicini,2022,https://link.springer.com/chapter/10.1007/978-3-031-15565-9_8,Conference paper
Technological Intervention of Sleep Apnea Based on Semantic Interoperability,"Proceeding of 2021 International Conference on Wireless Communications, Networking and Applications",,,,10.1007/978-981-19-2456-9_39,Ying LiangWeidong GaoGang ChuaiDikun Hu,2022,https://link.springer.com/chapter/10.1007/978-981-19-2456-9_39,Conference paper
Implementing Semantic Interoperability in Cloud Collaborative Manufacturing: A Demonstration Case for an Ontology-Based Asset Efficiency Testbed,Enterprise Interoperability IX,,,,10.1007/978-3-030-90387-9_8,Jaime PereiraDaniel PimentaDaniel DiasPaula MonteiroFrancisco MoraisNuno SantosJoão Pedro MendonçaFernando PereiraJoão P. Carvalhal,2023,https://link.springer.com/chapter/10.1007/978-3-030-90387-9_8,Conference paper
Semantic Interoperability Issues and Challenges in IoT: A Brief Review,Intelligence of Things: Technologies and Applications,,,,10.1007/978-3-031-15063-0_2,Devamekalai NagasundaramSelvakumar ManickamShankar Karuppayah,2022,https://link.springer.com/chapter/10.1007/978-3-031-15063-0_2,Conference paper
Evaluation of Semantic Interoperability of Automotive Service API Models Based on Metamodels Similarity Metrics Using a Semi-automated Approach,Emerging Technologies in Computing,,,,10.1007/978-3-031-25161-0_2,Sangita DeJuergen MottokPřemek Brada,2023,https://link.springer.com/chapter/10.1007/978-3-031-25161-0_2,Conference paper
Towards semantic interoperability: finding and repairing hidden contradictions in biomedical ontologies,BMC Medical Informatics and Decision Making,,,,10.1186/s12911-020-01336-2,Luke T. SlaterGeorgios V. GkoutosRobert Hoehndorf,2020,https://link.springer.com/article/10.1186/s12911-020-01336-2,Article
Semantic Interoperability in the Internet of Things: A Systematic Literature Review,ITNG 2022 19th International Conference on Information Technology-New Generations,,,,10.1007/978-3-030-97652-1_40,Pedro Lopes de Lopes de SouzaWanderley Lopes de Lopes de SouzaRicardo Rodrigues Ciferri,2022,https://link.springer.com/chapter/10.1007/978-3-030-97652-1_40,Conference paper
GAP: Enhancing Semantic Interoperability of Genomic Datasets and Provenance Through Nanopublications,Metadata and Semantic Research,,,,10.1007/978-3-030-98876-0_29,Matheus Pedra Puime FeijoóRodrigo JardimSergio Manuel Serra da CruzMaria Luiza Machado Campos,2022,https://link.springer.com/chapter/10.1007/978-3-030-98876-0_29,Conference paper
An Extended Framework for Semantic Interoperability in PaaS and IaaS Multi-cloud,Digital Technologies and Applications,,,,10.1007/978-3-031-02447-4_43,Karima BenhssayenAhmed Ettalbi,2022,https://link.springer.com/chapter/10.1007/978-3-031-02447-4_43,Conference paper
A semantic graph database for the interoperability of 3D GIS data,Applied Geomatics,,,,10.1007/s12518-020-00334-3,Eva Savina MalinverniBerardo NaticchiaJose Luis Lerma GarciaAlban GorrejaJoaquin Lopez UriarteFrancesco Di Stefano,2020,https://link.springer.com/article/10.1007/s12518-020-00334-3,Article
Extension of Reverse Engineering Approach of SWS for the Resolution of Semantic Interoperability of EIS,Advanced Intelligent Systems for Sustainable Development (AI2SD’2020),,,,10.1007/978-3-030-90639-9_26,Wafa GuefrechSahbi ZahafFaiez Gargouri,2022,https://link.springer.com/chapter/10.1007/978-3-030-90639-9_26,Conference paper
Semantic Interoperability for IoT Agriculture Framework with Heterogeneous Devices,"Proceedings of International Conference on Recent Trends in Machine Learning, IoT, Smart Cities and Applications",,,,10.1007/978-981-15-7234-0_34,P. Salma KhatoonMuqeem Ahmed,2021,https://link.springer.com/chapter/10.1007/978-981-15-7234-0_34,Conference paper
Semantic Interoperability of CV Builder: Problem and Practical Solutions,Information and Software Technologies,,,,10.1007/978-3-030-88304-1_8,Svetlana KubilinskieneValdona Judickaite-ZukovskeTatjana Liogiene,2021,https://link.springer.com/chapter/10.1007/978-3-030-88304-1_8,Conference paper
Semantic Interoperability for Multiagent Simulation and Decision Support in Power Systems,"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection",,,,10.1007/978-3-030-85710-3_18,Gabriel SantosTiago PintoZita ValeJuan M. Corchado,2021,https://link.springer.com/chapter/10.1007/978-3-030-85710-3_18,Conference paper
SPIRIT: Semantic and Systemic Interoperability for Identity Resolution in Intelligence Analysis,AI Approaches to the Complexity of Legal Systems XI-XII,,,,10.1007/978-3-030-89811-3_17,Costas DavarakisEva BlomqvistMarco TiemannPompeu Casanovas,2021,https://link.springer.com/chapter/10.1007/978-3-030-89811-3_17,Conference paper
Leveraging Semantic Technologies for&#xa0;Digital Interoperability in&#xa0;the&#xa0;European Railway Domain,The Semantic Web – ISWC 2021,,,,10.1007/978-3-030-88361-4_38,Julián Andrés RojasMarina AguadoPolymnia VasilopoulouIvo VelitchkovDylan Van AsschePieter ColpaertRuben Verborgh,2021,https://link.springer.com/chapter/10.1007/978-3-030-88361-4_38,Conference paper
Semantic Interoperability and Sustainability an Industry 4.0 Product Life Cycle Issue,Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems,,,,10.1007/978-3-030-85910-7_44,Yasamin EslamiSahand AshouriMario Lezoche,2021,https://link.springer.com/chapter/10.1007/978-3-030-85910-7_44,Conference paper
SemAI: A Novel Approach for Achieving Enhanced Semantic Interoperability in Public Policies,Artificial Intelligence Applications and Innovations,,,,10.1007/978-3-030-79150-6_54,George ManiasArgyro MavrogiorgouAthanasios KiourtisDimosthenis Kyriazis,2021,https://link.springer.com/chapter/10.1007/978-3-030-79150-6_54,Conference paper
Towards Semantic Interoperability in Historical Research: Documenting Research Data and Knowledge with Synthesis,The Semantic Web – ISWC 2021,,,,10.1007/978-3-030-88361-4_40,Pavlos FafaliosKonstantina KonsolakiLida CharamiKostas PetrakisManos PaterakisDimitris AngelakisYannis TzitzikasChrysoula BekiariMartin Doerr,2021,https://link.springer.com/chapter/10.1007/978-3-030-88361-4_40,Conference paper
Defining a Core Ontology for Medical Devices in Germany to Ensure Semantic Interoperability,Modelling and Development of Intelligent Systems,,,,10.1007/978-3-030-68527-0_25,Andreas E. SchützTobias FertigKristin Weber,2021,https://link.springer.com/chapter/10.1007/978-3-030-68527-0_25,Conference paper
The Use of Decentralized and Semantic Web Technologies for Personal Data Protection and Interoperability,AI Approaches to the Complexity of Legal Systems XI-XII,,,,10.1007/978-3-030-89811-3_23,Mirko ZichichiVíctor Rodríguez-DoncelStefano Ferretti,2021,https://link.springer.com/chapter/10.1007/978-3-030-89811-3_23,Conference paper
Semantic Interoperability for Development of Future Health Care: A Systematic Review of Different Technologies,Proceedings of International Conference on Sustainable Expert Systems,,,,10.1007/978-981-33-4355-9_42,Gajanan Shankarrao PatangeZankhan SonaraHarmish Bhatt,2021,https://link.springer.com/chapter/10.1007/978-981-33-4355-9_42,Conference paper
Interoperability Evaluation in Building Automation and Health Smart Homes Using Tag-Based Semantic Frameworks,Biomedical Engineering Systems and Technologies,,,,10.1007/978-3-030-72379-8_19,Bastian WollschlaegerElke EichenbergKlaus Kabitzsch,2021,https://link.springer.com/chapter/10.1007/978-3-030-72379-8_19,Conference paper
MOOCs Semantic Interoperability: Towards Unified and Pedagogically Enriched Model for Building a Linked Data Repository,Digital Technologies and Applications,,,,10.1007/978-3-030-73882-2_56,Hanane SebbaqNour-eddine El Faddouli,2021,https://link.springer.com/chapter/10.1007/978-3-030-73882-2_56,Conference paper
TensorFlow-Based Semantic Techniques for Multi-cloud Application Portability and Interoperability,Inventive Communication and Computational Technologies,,,,10.1007/978-981-15-0146-3_2,Tanveer KaurKiranbir Kaur,2020,https://link.springer.com/chapter/10.1007/978-981-15-0146-3_2,Conference paper
A Semantic Web Solution for Enhancing the Interoperability of E-Learning Systems by Using Next Generation of SCORM Specifications,Advanced Intelligent Systems for Sustainable Development (AI2SD’2019),,,,10.1007/978-3-030-36653-7_5,Abdellah BakhouyiRachid DehbiMouad BananeMohamed Talea,2020,https://link.springer.com/chapter/10.1007/978-3-030-36653-7_5,Conference paper
