"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Knowledge Management of Controlled Vocabularies for Semantic Interoperability of Healthcare Applications","J. Rocha de Matos Nogueira; L. T. Cavalini; T. W. Cook; N. C. Laurindo de Oliveira Ahiadzro","MLHIM Technol. Dev. Unit, Universidade do Estado do Rio de Janeiro, Rio de Janeiro, RJ, BR; Department of Healthcare Information Technology, Rio de Janeiro State University, Rio de Janeiro, Brazil; Department of Healthcare Information Technology, Rio de Janeiro State University, Rio de Janeiro, Brazil; Emergent Group for Research and Innovation on Healthcare Information Technology, Rio de Janeiro State University, Rio de Janeiro, Brazil",2015 International Conference on Healthcare Informatics,"10 Dec 2015","2015","","","455","458","Controlled vocabularies such as terminologies and ontologies are regarded as a solution to the achievement of semantic interoperability across healthcare applications. This is yet to be attained. The semantics of current healthcare applications are directly in the source code and database structure and therefore cannot be readily shared. The multilevel model-driven approach is a method to produce semantically interoperable healthcare applications by providing sharable concept models. At this point, the methodology is proven, but implementations are still required. This study presents the fundamentals of knowledge modeling of controlled vocabularies for a XML-based multilevel model specification. The term subset 'Tuberculosis' of the 10th Revision of the International Classification of Diseases (ICD-10) is modeled as constraints to the XML Schema that defines the Reference Model. The Brazilian Mortality and Hospital Information Systems provided sample data for demonstration. The demonstration of the semantic validation of the XML data instances that include the ICD-10 'Tuberculosis' term set, converted to the multilevel model generated, is presented.","","978-1-4673-9548-9","10.1109/ICHI.2015.72","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7349734","Health information systems;Information exchange;Controlled vocabulary","Medical services;Vocabulary;Charge coupled devices;Semantics;XML;Interoperability;Information systems","","1","","15","IEEE","10 Dec 2015","21-23 Oct. 2015","21-23 Oct. 2015","IEEE","IEEE Conferences"
"Automatic Conversion of MPEG-7 Specification and Data into RDF(S) For Semantic Interoperability in Information Retrieval","J. M. Yoo; S. H. Myaeng; S. S. Kim; M. H. Lee","Digital Home Research Division, Electronics and Telecommnications Research Institute, South Korea; School of Engineering, Information and Communications University, South Korea; School of Engineering, Information and Communications University, South Korea; Department of Computer Science, Chungnam National University, South Korea","International Conference on Computational Intelligence for Modelling, Control and Automation and International Conference on Intelligent Agents, Web Technologies and Internet Commerce (CIMCA-IAWTIC'06)","22 May 2006","2005","1","","45","50","Interoperability between different metadata schemas and data is an important issue for various semantic Web-related applications. The definitions and MPEG-7 data for multimedia content instances can't be used with other metadata standards in a semantically interoperable way. As part of an attempt to build a retrieval system that uses various metadata standards such as MPEG-7 and Dublin Core in a semantic Web environment, we first developed a method for automatically converting the MPEG-7 specification into a RDF schema (RDFS) and MPEG-7 data into RDF data. Our approach is to develop a set of conversion rules for XML Schema definitions into RDF schema definitions, rather than interpreting the semantics of individual components of the MPEG-7 specification","","0-7695-2504-0","10.1109/CIMCA.2005.1631240","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1631240","","MPEG 7 Standard;Information retrieval;Resource description framework;XML;Ontologies;Standards development;Semantic Web;Data engineering;Computer science;Application software","","1","1","18","IEEE","22 May 2006","28-30 Nov. 2005","28-30 Nov. 2005","IEEE","IEEE Conferences"
"Architecture for Semantic Interoperability in the E-Governance Environment","L. P. Blagoev; R. I. Trifonov; K. B. Spassov","Department of Information Technologies in Industry, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Information Technologies in Industry, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Statistics and Econometrics, Faculty of Economics and Business Administration, Sofia University ""St. Kliment Ohridski"", Sofia, Bulgaria",2024 12th International Scientific Conference on Computer Science (COMSCI),"11 Dec 2024","2024","","","1","4","The introduction of Semantic interoperability in the e-Governance environment is essentially a standardization process that is continuously linked to the notion of (software) architecture. Different developments on this topic are tasked with solving different problems. The present material offers a view of such an architecture, which is the basis for determining the control points for compliance with the requirements for Semantic interoperability, as well as for the development of methods and means for performing this control.","","979-8-3503-9216-6","10.1109/COMSCI63166.2024.10778528","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10778528","Semantic interoperability;Electronic Governance;Semantic interoperability Architecture","Computer science;Software architecture;Semantics;Computer architecture;Standardization;Interoperability","","1","","5","IEEE","11 Dec 2024","13-15 Sept. 2024","13-15 Sept. 2024","IEEE","IEEE Conferences"
"Robot sensor data interoperability and tasking with semantic technologies","C. D'Este; A. Morshed; R. Dutta","Commonwealth Scientific and Industrial Research Organisation, Canberra, ACT, AU; Commonwealth Scientific and Industrial Research Organisation, Canberra, ACT, AU; Commonwealth Scientific and Industrial Research Organisation, Canberra, ACT, AU",2014 IEEE International Instrumentation and Measurement Technology Conference (I2MTC) Proceedings,"21 Jul 2014","2014","","","1543","1547","In large-scale monitoring programs, such as in agriculture and environmental management, field robots have potentially lower cost and technical overhead than multiple static sensors. Robot sensing data, however, is not generally shared during, or after deployment. This is a wasted opportunity for enhancing autonomous decision making in the robot with external data, or for providing potentially useful data to other systems. We present how semantic technologies; including Linked Open Data principles and ontologies can assist by improving robot data interoperability.","1091-5281","978-1-4673-6386-0","10.1109/I2MTC.2014.6861004","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6861004","","Robot sensing systems;Ontologies;Semantic Web;Monitoring;Semantics;Agriculture","","","","20","IEEE","21 Jul 2014","12-15 May 2014","12-15 May 2014","IEEE","IEEE Conferences"
"Protocols for Semantic Interoperability in Distributed Environments","L. Brânzan","dept. of Informatics and Systems Engineering, faculty of Computers, Informatics, and Microelectronics, Technical University of Moldova, Chisinău, The Republic of Moldova",2025 24th RoEduNet Conference: Networking in Education and Research (RoEduNet),"30 Oct 2025","2025","","","1","4","The domain of information and communication technology faces a challenge of integrating increasingly massive amounts of data. Despite significant progress in development of data management and exchange solutions (e.g., the FAIR principles for open data), information is often poorly managed, badly structured, and lacks context, complicating data integration. There's a need for improved or new modes of storage, sharing, recovery, modification of data. This doctoral project proposal outlines a possible solution by way of data interoperability across different information systems and technological platforms. This doesn't imply compatibility of different information systems on a hardware-software level, but intersystem data representation and interpretation with the help of common standards and protocols. Such an approach has to be based on distributed data architectures designed with semantic models that facilitate information exchange. Semantic interoperability requires (and therefore assures) that data that is being exchanged is interpreted consistently by all parties. This doctoral research aims to develop new methods of ensuring semantic interoperability through standardization, formalization, and ontologies as primary data interchangeability enablers. The main objectives are: to identify methods of designing new distributed data architectures that ensure semantic interoperability; to develop a methodology for implementing protocols that guarantee semantic interoperability in distributed systems; to create new models of interaction of heterogeneous network entities, and a protocol that supports effortless data interchangeability; to develop new methods of validation and verification of the developed protocol. The expected results consist of new formal and empirical methods of ensuring semantic interoperability in distributed information and communication systems. These methods would contain: a language for modeling interoperable data, and a protocol for semantic interoperability in distributed systems.","2247-5443","979-8-3315-5713-3","10.1109/RoEduNet68395.2025.11208279","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11208279","data serialization;ontologies;FAIR principles;knowledge graphs;Semantic Web","Protocols;Semantics;Distributed databases;Medical services;Ontologies;Solids;Data models;Interoperability;Standards;Information systems","","","","21","IEEE","30 Oct 2025","17-20 Sept. 2025","17-20 Sept. 2025","IEEE","IEEE Conferences"
"Semantic Interoperability Middleware Architecture for Heterogeneous Environmental Data Sources","A. K. Akanbi; M. Masinde","Department of Information Technology, Central University of Technology, Free State, South Africa; Department of Information Technology, Central University of Technology, Free State, South Africa",2018 IST-Africa Week Conference (IST-Africa),"23 Jul 2018","2018","","","Page 1 of 10","Page 10 of 10","Data heterogeneity hampers the effort to integrate and infer knowledge from vast heterogeneous data sources. An application case study is described, in which the objective was to semantically represent and integrate structured data from sensor devices with unstructured data in the form of local indigenous knowledge. However, the semantic representation of these heterogeneous data sources for environmental monitoring systems is not well supported yet. To combat the incompatibility issues, a dedicated semantic middleware solution is required. In this paper, we describe and evaluate a cross-domain middleware architecture that semantically integrates and generate inference from heterogeneous data sources. These use of semantic technology for predicting and forecasting complex environmental phenomenon will increase the degree of accuracy of environmental monitoring systems.","2576-8581","978-1-905824-60-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417198","Interoperability;Data Heterogenity;Semantic Integration;Middleware;Sensor Data;Local indigenous knowledge;Drought","Interoperability;Middleware;Computer architecture;Semantics;Data integration;Environmental monitoring;Engines","","","","19","","23 Jul 2018","9-11 May 2018","9-11 May 2018","IEEE","IEEE Conferences"
"Instance Based Semantic Interoperability for Domain Specific Databases","H. Liu; H. Bao; J. Feng","Institute of Information Technology, Beijing Union University, Beijing, China; Institute of Information Technology, Beijing Union University, Beijing, China; School of Computing, University of Paisley, UK","Third International Conference on Semantics, Knowledge and Grid (SKG 2007)","22 Jan 2008","2007","","","402","405","It is highly desirable to the distribute data and knowledge of a huge amount of domain specific database and to make them available readily to people, but the distributed and heterogeneous natural of the databases gives rise to the challenge of achieving the best retrieval results in cross-system searching. In order to make this difficult task tractable, we analyze semantic heterogeneities among these databases which choose digital museum as target domain and describe an instance based approach to accomplishing semantic interoperability by using ontology and information flow theory.","","0-7695-3007-9","10.1109/SKG.2007.86","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4438580","","Ontologies;Cultural differences;Spatial databases;Distributed databases;Information retrieval;Information technology;Information analysis;Vocabulary;Shape;Distributed computing","","","","7","IEEE","22 Jan 2008","29-31 Oct. 2007","29-31 Oct. 2007","IEEE","IEEE Conferences"
"Automated Construction and Semantic Interoperability for Digital Twins: Integrating Heterogeneous Data with Large Language Models","L. Pilarski; L. E. Luiz; G. S. Gomes; T. Pinto; V. M. Filipe; J. Barroso; G. Rijo","School of Science and Technology, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; School of Science and Technology, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; School of Science and Technology, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; School of Science and Technology, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; School of Science and Technology, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; School of Science and Technology, University of Trás-os-Montes and Alto Douro, Vila Real, Portugal; Neoception, Unipessoal, Lda., Vila Real, Portugal",2025 IEEE Conference on Artificial Intelligence (CAI),"7 Jul 2025","2025","","","47","48","Digital twins are increasingly used, as they allow the creation of detailed virtual representations of physical products and systems. They face, however, significant challenges such as heterogeneous data integration and high costs. This article presents an innovative methodology that uses Large Language Models to unify information and automate the generation of Digital Twin models. The proposal comprises several modules, covering the stages of data collection, semantic processing, modular construction and validation of the Digital Twin. In this way, the proposed model guarantees interoperability, efficiency and scalability for various domains.","","979-8-3315-2400-5","10.1109/CAI64502.2025.00014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11050465","Asset Administration Shell;Semantic standardization;Industrial Automation and Artificial Intelligence","Modular construction;Large language models;Scalability;Semantics;Data integration;Standardization;Digital twins;Proposals;Interoperability;Faces","","","","6","IEEE","7 Jul 2025","5-7 May 2025","5-7 May 2025","IEEE","IEEE Conferences"
"Semantic Interoperability as a Tool for the Management of an E-Governance Project","L. Blagoev; R. Trifonov; K. Spassov","Department of Information Technologies in Industry, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Information Technologies in Industry, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Statistics and Econometrics, Faculty of Economics and Business Administration, Sofia University “St. Kliment Ohridski”, Sofia, Bulgaria",2023 International Conference Automatics and Informatics (ICAI),"7 Dec 2023","2023","","","352","355","Managing a project to build e-Governance is a heavy and large-scale task, especially in terms of quality control of the created ICT resources. The optimal solution to such a task is the application of the “control of control” principle, which in general requires the creation of additional funds. The specificity of resources to support Semantic Interoperability enables them to be used to implement this principle. This material presents ways to achieve this.","","979-8-3503-1291-1","10.1109/ICAI58806.2023.10339047","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10339047","Semantic interoperability;e-Government","Semantics;Buildings;Project management;Quality control;Task analysis;Informatics;Interoperability","","","","6","IEEE","7 Dec 2023","5-7 Oct. 2023","5-7 Oct. 2023","IEEE","IEEE Conferences"
"Instance Assisted Semantic Interoperability for Distributed Digital Museums","Y. Liang; H. Bao; H. -Z. Liu; G. -F. Li","Institute of Information Technology, Beijing Union University, China; Institute of Information Technology, Beijing Union University, China; College of Math and Information, Langfang Teacher's College; Institute of Information Technology, Beijing Union University, China",2008 International Conference on Computer Science and Information Technology,"12 Sep 2008","2008","","","83","87","The distribution and heterogeneity of information raise several challenges for systems to search and retrieve information mutually. One critical foundation for coordinated action in multi-systems is the ability to exchange representational objects that can be locally interpreted in ways that make sense. Coherent local interpretation of shared representations is needed to create global semantic coherence for the distributed systems. Ontology technology is a useful approach to information integration. But when the categories of the relative concepts of ontologies are different, the semantic interoperation will encounter new obstacles. Except that the schema carries information, the data also carry abundant information, which assists to further interoperate. In the paper, a semantic interoperation framework is proposed which adopts instance assisted ontology technology. The implementation of the framework in distributed Xu Beihong's Galleries is discussed in detail. The emphasis is the process of ontology integration and the approach to further semantic interoperation using instances. In the end, the more interrelated problems are further discussed.","","978-0-7695-3308-7","10.1109/ICCSIT.2008.124","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4624837","Ontology;Semantic Interoperation;Digital Museum","Ontologies;Argon;Painting;Random access memory;Nonvolatile memory;Ferroelectric films;Ions","","","","6","IEEE","12 Sep 2008","29 Aug.-2 Sept. 2008","29 Aug.-2 Sept. 2008","IEEE","IEEE Conferences"
"Efficient RFID service framework for seamless semantic interoperability","J. -D. Kim; Jiseong Son; J. Kim; D. -K. Baik","Department of Computer and Radio Communications Engineering, Korea University, Seoul, South Korea; Department of Computer and Radio Communications Engineering, Korea University, Seoul, South Korea; Korea Institute of Science and Technology Information, Daejeon, South Korea; Department of Computer and Radio Communications Engineering, Korea University, Seoul, South Korea",2012 IEEE International Conference on Consumer Electronics (ICCE),"1 Mar 2012","2012","","","370","371","This paper presents an efficient RFID service framework for supporting semantic consistency. The chief objective of our proposal is to let RFID applications exchange and share information about objects consistently and independently on various application fields. Our proposal enables seamless semantic interoperability and development of high-quality RFID services.","2158-4001","978-1-4577-0231-0","10.1109/ICCE.2012.6161906","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6161906","","Semantics;Vocabulary;Radiofrequency identification;ISO standards;IEC standards;Silicon;Proposals","","","","7","IEEE","1 Mar 2012","13-16 Jan. 2012","13-16 Jan. 2012","IEEE","IEEE Conferences"
"Semantic interoperability of field-based thematic geographic information","T. Navarrete; J. Blat; M. Ruiz","Department de Tecnología, Universitat Pompeu Fabra, Barcelona, Spain; Department de Tecnología, Universitat Pompeu Fabra, Barcelona, Spain; Servei de SIG i Teledetecció, Universitat Illes Balears, Palma, Spain","Proceedings. 15th International Workshop on Database and Expert Systems Applications, 2004.","20 Sep 2004","2004","","","792","796","A model for semantic interoperability among a repository of geographic datasets from different providers is proposed in this article. Specifically, this approach focuses on qualified field-based geographic information. Our solution is based on an ontology describing geographic themes. We present a method to build up this ontology from the data schemas of each dataset in the repository. We have developed a tool, which is currently being evaluated by users, to support this process.","1529-4188","0-7695-2195-9","10.1109/DEXA.2004.1333572","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333572","","Ontologies;Resource description framework;Semantic Web;ISO standards;OWL;Humans;Application software;Web sites;Taxonomy;Logic","","","","18","IEEE","20 Sep 2004","3-3 Sept. 2004","3-3 Sept. 2004","IEEE","IEEE Conferences"
"No Terminology, No Standards, No Future: Semantic Interoperability for Bridging Stakeholders in XR","T. Kurata","Research Institute on Human and Societal Augmentation, AIST",2025 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct),"18 Nov 2025","2025","","","505","509","In concepts that span multiple domains, such as XR and the Metaverse, ambiguity in terminology often leads to misunderstandings and hinders effective collaboration. Much like technical interoperability in software and systems, the clarification of terminology facilitates semantic interoperability, which serves as a foundation for cooperation among diverse stakeholders. At the ISMAR 2024 panel session titled ""xR is dead, long live XR!"" participants addressed the definitional ambiguity surrounding XR and the resulting challenges in mutual understanding, evaluation, and communication within the research community. The panelists explored a range of topics, including the re-examination of conceptual boundaries between VR, AR, and MR, and discrepancies in terminology across academia, industry, and standardization bodies. During the open discussion, the merits and limitations of using ""XR"" as an umbrella term were debated, along with the need to ensure inclusiveness, neutrality, and transparency in language. Other practical challenges were also highlighted, such as the importance of context-sensitive terminology and the appropriate timing for standardization. The session underscored the urgency of addressing fragmentation and fostering cross-sectoral cooperation through standardization. In response to these discussions, a new Standardization Committee was formally launched at ISMAR 2025. This paper also introduces the committee's mission and objectives.","2771-1110","979-8-3315-9347-6","10.1109/ISMAR-Adjunct68609.2025.00102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11236336","XR;Metaverse;Terminology;Taxonomy;Reality–Virtuality Continuum;Semantic Interoperability;Standardization","Industries;Terminology;Metaverse;Semantics;Taxonomy;Software;Timing;Stakeholders;Interoperability;Standards","","","","17","IEEE","18 Nov 2025","8-12 Oct. 2025","8-12 Oct. 2025","IEEE","IEEE Conferences"
"Using Ontology to Support Portlet Semantic Interoperability","L. Xianming; L. Weihua; L. Shixian","Department of Technology, JiangXi Electric Information and Communication Company, Nanchang, China; Department of Computer Science, Guangdong University of Technology, Guangzhou, China; Department of Computer Science, Sun Yat-Sen University, Guangzhou, China",2009 First International Workshop on Education Technology and Computer Science,"26 May 2009","2009","2","","534","537","This paper discusses the needs of the portlets' semantic interoperability. It shows the drawbacks of current specifications of portlets such as JSR168 and WSRP. The paper suggests using ontology to support semantic interoperability of portlets. It proposes a scheme of ontology as a remote portlet service to illustrate the semantic interoperability of portlets.","","978-1-4244-3581-4","10.1109/ETCS.2009.380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4959095","Portlet;Semantic Interoperability;Ontology;WSRP","Ontologies;Portals;Java;Containers;Educational technology;Paper technology;Computer science;Web services;Vocabulary;Resource description framework","","","","9","IEEE","26 May 2009","7-8 March 2009","7-8 March 2009","IEEE","IEEE Conferences"
"Semantic interoperability by means of computer languages","E. Dedera","Department of Informatics, Armed Forces Academy of Gen. M. R. Štefánik, Liptovsky Mikulas, Slovakia",2012 Military Communications and Information Systems Conference (MCC),"20 Dec 2012","2012","","","1","7","In this paper we introduce computer language syntax and semantic processing techniques as a means to achieve semantic interoperability in the selected areas of command and control systems. Specifically we focus on the topic of domain-specific languages in the area of military command and control systems, where we present how separation of concrete and abstract syntax and semantics can help design languages with multilingual support that are exploitable in integration of national command and control systems and deployment in multinational environment.","","978-83-920120-9-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6387938","computer languages;domain-specific languages;syntax;semantics;command and control system","Semantics;DSL;Syntactics;Concrete;Computer languages;Weapons;Abstracts","","","","20","","20 Dec 2012","8-9 Oct. 2012","8-9 Oct. 2012","IEEE","IEEE Conferences"
"Research on the Portlet Semantic Interoperability Architecture","L. Xianming; L. Weihua; W. Chen","Jiangxi Electric Information and Communication Company, NanChang, China; Guangdong University of Technology, Guangzhou, China; Jiangxi Electric Power Research Institute, Nanchang, China",2009 WRI World Congress on Software Engineering,"10 Nov 2009","2009","1","","453","456","This paper discusses the needs of the portlet's semantic interoperability. It shows the current situation of portlet's interoperability. The paper suggests using semantic Web service technology to enhance semantic interoperability of portlets. It proposes the portlet semantic interoperability architecture and gives some key technologies used in the architecture.","","978-0-7695-3570-8","10.1109/WCSE.2009.339","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5319152","Portlet;Semantic Interoperablity;Semantic Web Service;OWL-S;QoS-driven","Portals;Java;Service oriented architecture;Web services;Paper technology;Semantic Web;Software engineering;Computer architecture;Kernel;Productivity","","","","10","IEEE","10 Nov 2009","19-21 May 2009","19-21 May 2009","IEEE","IEEE Conferences"
"Building semantic interoperability into a content integration application","L. Nixon","MAGIC Competence Centre, Fraunhofer Institute FOKUS, Berlin, Germany",Proceedings of the Eighth IEEE Symposium on Computers and Communications. ISCC 2003,"23 Sep 2003","2003","","","1193","1198 vol.2","The task of applications to integrate data from multiple sources in different environments (such as broadcast television and World Wide Web) encounters the problem of non-interoperability between the various standards used to encode and represent that data. The potential of the semantic Web to provide machine-understandable data to applications to aid interoperability needs to resolve the issue of the use of different semantic concept spaces for the same concepts. Without solutions to this, convergence applications will not be able to benefit from semantic information when seeking to integrate content. This paper analyses a number of possible approaches using semantic Web standards and outlines how the chosen approach will extend my research in implementing an automated system for the integration of Web-based content with audio-visual material.","1530-1346","0-7695-1961-X","10.1109/ISCC.2003.1214275","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214275","","Semantic Web;Vocabulary;HTML;MPEG 7 Standard;TV broadcasting;IP networks;Web and internet services;XML;Web sites;Information retrieval","","","","11","IEEE","23 Sep 2003","3-3 July 2003","3-3 July 2003","IEEE","IEEE Conferences"
"Semantic web services as foundation for enterprise interoperability","S. Komazec; O. Shafiq; F. Facca; M. Zaremba; M. Kerrigan","STI lnnsbruck, Innsbruck, Austria; STI lnnsbruck, Innsbruck, Austria; STI lnnsbruck, Innsbruck, Austria; STI lnnsbruck, Innsbruck, Austria; STI lnnsbruck, Innsbruck, Austria",2008 IEEE International Technology Management Conference (ICE),"28 Apr 2016","2008","","","1","8","This paper presents an overview of the Web Service Execution Environment (WSMX) and its basic support for issues originating in the Enterprise Interoperability (EI) problem domain. WSMX is a reference implementation of the Web Service Modeling Ontology (WSMO), which is a conceptual model used to describe various aspects related to Semantic Web Services (SWS). WSMX is an execution environment aiming to enable fully automated discovery, selection, mediation, invocation and interoperation of the SWSs. It is a platform characterized by strong component decoupling and goal-driven Web service usage. Certain components of the platform can directly contribute to the EI requirements identified by current research and technical efforts thus making WSMX suitable as the foundational platform for solving EI issues. To justify this claim a use case representing a WSMX based solution addressing data and process heterogeneity reconciliation in B2B integration is presented.","","978-0-85358-244-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7462095","Semantic Web Services;Enterprise Interoperability;WSMO;WSMX;semantics","Semantics;Interoperability;Ontologies;Service-oriented architecture;Mediation;Business","","","","11","","28 Apr 2016","23-28 June 2008","23-28 June 2008","IEEE","IEEE Conferences"
"Interoperability of Digitizing Systems Based on Semantic Grid","C. ZeFeng; Y. HaiCheng; M. Rong","Key Laboratory of Contemporary Design and Integrated Manufacturing Technology, Ministry of Education, Northwestern Polytechnical University, Xi'an, China; Key Laboratory of Contemporary Design and Integrated Manufacturing Technology, Ministry of Education, Northwestern Polytechnical University, Xi'an, China; Key Laboratory of Contemporary Design and Integrated Manufacturing Technology, Ministry of Education, Northwestern Polytechnical University, Xi'an, China",2010 International Conference on E-Business and E-Government,"30 Sep 2010","2010","","","1434","1436","With the growth of the complex multi-disciplinary collaborative design product demand, the collaborative environment and functionality interoperability of the product design put forward higher requirements. To solve the issues of information-sharing among heterogeneous digitizing systems, this paper introduces semantic grid combined by semantic Web and grid technology, and proposes the semantic grid hierarchy model supporting interoperability, and establishes digital system interoperability integration framework based on semantic grid, and achieves a prototype system on this basis.","","978-1-4244-6647-4","10.1109/ICEE.2010.364","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5591561","semantic grid;interoperability;ontology knowledge base","Semantics;Solid modeling;Knowledge based systems;Ontologies;Semantic Web;Collaboration;Design automation","","","","6","IEEE","30 Sep 2010","7-9 May 2010","7-9 May 2010","IEEE","IEEE Conferences"
"Ontology based semantic interoperability facilitator among task group","M. Pasha; M. Rahman; H. F. Ahmad","National University of Science and Technology, Pakistan; Computer Department, University of Lagos, Nigeria; National University of Science and Technology, Pakistan",2008 4th International IEEE Conference Intelligent Systems,"11 Nov 2008","2008","3","","23-7","23-10","Collaboration among enterprises in a dynamic environment makes the actors to concentrate on their respective core competences and allow provision and sharing of expertise, resources, and skills for taking advantages and better respond to business opportunities. The coming together of such organizations, usually enhanced by computer network, is referred to as virtual enterprise (VE) or task group. This partnership is only possible if the systems in the various associated organizations can process the data in one another. A major challenge in the enterprise collaborative system that has attracted many research efforts in the recent past is semantic interoperability. This collaborative-based market place requires among others common conceptualization and meaningful data exchange. Effective collaboration among VE members is a major key to the accomplishment of this noble objective. For this interoperability to be effective, we propose in this paper an ontology-based middleware framework ldquoOntology Gatewayrdquo used by players in such situation to exchange information needed to carry out the process. The middleware not only assists in the formation of VE by interested members, but also facilitates semantic interpretability among task groups.","2767-9802","978-1-4244-1739-1","10.1109/IS.2008.4670476","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4670476","Agents;Semantic Web;Virtual enterprise;Web services","Ontologies;Web services;Middleware;Semantic Web;Collaboration;Virtual enterprises;Isolation technology;Service oriented architecture;Software agents;Intelligent systems","","","","23","IEEE","11 Nov 2008","6-8 Sept. 2008","6-8 Sept. 2008","IEEE","IEEE Conferences"
"A New Model to Describe Information Semantic Interoperability","X. Liu; W. Li; S. Li; Z. Tao","Department of Technology, JiangXi Electric Information and Communication Company, Nanchang, China; Faculty of Computer, Guangdong University of Technology, Guangzhou, China; Department of Computer Science, Sun Yat-Sen University, Guangzhou, China; Department of Technology, Jiangxi Electric Information and Communication Company, Nanchang, China",2008 International Symposium on Information Science and Engineering,"30 Dec 2008","2008","1","","62","65","This paper shows that the Shannon information theory is not suit to describe the semantic interoperability of distributed information resources. It proposes the spatial-temporal channel concept based on the channel theory to support networking semantic information sharing. The paper analyses the communication semantic stack model and presents a new model to describe information semantic interoperability.","2160-1291","978-0-7695-3494-7","10.1109/ISISE.2008.173","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4732170","semantic interoperability;information resources;Information-flow Theory;Spatial-Temporal Channel;OWL","Information resources;Ontologies;Mathematical model;Logic;Information theory;Paper technology;Distributed computing;Communication channels;Semantic Web;Context","","","","14","IEEE","30 Dec 2008","20-22 Dec. 2008","20-22 Dec. 2008","IEEE","IEEE Conferences"
"Tutorial 2: A guided tour trough semantic interoperability","N. Boudjlida","University of Lorraine, UMR 7503, France",2012 Second International Workshop on Advanced Information Systems for Enterprises,"14 Jan 2013","2012","","","93","93","Provides an abstract of the tutorial presentation and a brief professional biography of the presenter. The complete presentation was not made available for publication as part of the conference proceedings.","","978-1-4673-4791-4","10.1109/IWAISE.2012.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6410106","","","","","","5","IEEE","14 Jan 2013","10-12 Nov. 2012","10-12 Nov. 2012","IEEE","IEEE Conferences"
